,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
132,128,Real Sociedad,LaLiga,£10.80m,10,£27.72m,14,"18,80 Mill. £",2018
133,129,AS Saint-Étienne,Ligue 1,£10.80m,23,£16.83m,25,"6,70 Mill. £",2018
134,130,Shandong Luneng Taishan,Super League,£10.80m,13,-,13,"-12,00 Mill. £",2018
135,131,Hertha BSC,Bundesliga,£10.80m,20,£15.21m,13,"4,90 Mill. £",2018
136,132,Crystal Palace,Premier League,£10.67m,15,-,18,"-11,85 Mill. £",2018
137,133,Rangers FC,Premiership,£10.64m,33,£2.78m,27,"-8,73 Mill. £",2018
138,134,Racing Club,Primera División,£10.47m,34,£18.13m,23,"8,52 Mill. £",2018
139,135,Santos FC,Série A,£10.35m,32,£4.92m,27,"-6,04 Mill. £",2018
140,136,SK Slavia Prag,Fortuna Liga,£10.30m,36,£405k,29,"-10,99 Mill. £",2018
141,137,Hebei China Fortune,Super League,£10.17m,13,£10.36m,13,212 Th. £,2018
142,138,Leeds United,Championship,£10.17m,33,£6.03m,30,"-4,60 Mill. £",2018
143,139,Henan Jianye,Super League,£10.08m,22,£1.17m,20,"-9,90 Mill. £",2018
144,140,Tianjin Teda,Super League,£10.04m,13,-,10,"-11,16 Mill. £",2018
145,141,Club Tijuana,Liga MX Clausura,£9.95m,45,£1.80m,38,"-9,05 Mill. £",2018
146,142,Rayo Vallecano,LaLiga,£9.77m,26,£11.70m,29,"2,15 Mill. £",2018
147,143,Bristol City,Championship,£9.68m,19,£26.55m,23,"18,75 Mill. £",2018
148,144,New York City FC,MLS,£9.45m,17,£40k,17,"-10,46 Mill. £",2018
149,145,Chievo Verona,Serie A,£9.45m,82,£17.01m,55,"8,40 Mill. £",2018
150,146,Red Star Belgrade,SuperLiga,£9.27m,50,£21.65m,35,"13,75 Mill. £",2018
151,147,Deportivo de La Coruña,LaLiga2,£9.25m,29,£20.07m,31,"12,03 Mill. £",2018
152,148,Clube Atlético Mineiro,Série A,£9.22m,40,£12.24m,38,"3,36 Mill. £",2018
153,149,Girona FC,LaLiga,£9.18m,12,£2.97m,13,"-6,90 Mill. £",2018
154,150,HSC Montpellier,Ligue 1,£9.14m,15,£22.95m,11,"15,35 Mill. £",2018
156,151,Real Valladolid CF,LaLiga,£9.09m,25,-,27,"-10,10 Mill. £",2018
157,152,GNK Dinamo Zagreb,1.HNL,£9.05m,31,£31.64m,21,"25,10 Mill. £",2018
158,153,Deportivo Alavés,LaLiga,£9.02m,36,£8.10m,34,"-1,02 Mill. £",2018
159,154,Bayern Munich,Bundesliga,£9.00m,7,£75.60m,10,"74,00 Mill. £",2018
160,155,Standard Liège,Jupiler Pro League,£9.00m,29,£19.44m,23,"11,60 Mill. £",2018
161,156,Shenzhen FC Reserves,China,£8.97m,16,-,9,"-9,97 Mill. £",2018
162,157,SM Caen,Ligue 1,£8.78m,29,£13.05m,29,"4,75 Mill. £",2018
163,158,Club Atlético Independiente,Primera División,£8.74m,24,£16.74m,20,"8,89 Mill. £",2018
164,159,Toronto FC,MLS,£8.70m,20,£1.02m,17,"-8,53 Mill. £",2018
165,160,FC Midtjylland,Superligaen Championship round,£8.63m,41,£18.77m,32,"11,26 Mill. £",2018
166,161,PAOK Thessaloniki,Super League,£8.55m,62,£10.08m,42,"1,70 Mill. £",2018
167,162,El Ahly Cairo,Premier League,£8.51m,32,£1.22m,15,"-8,10 Mill. £",2018
168,163,Jiangsu Suning,Super League,£8.36m,21,£15.66m,21,"8,12 Mill. £",2018
169,164,Olympiacos Piraeus,Super League,£8.30m,68,£9.63m,60,"1,48 Mill. £",2018
170,165,FCO Dijon,Ligue 1,£8.28m,16,£3.60m,15,"-5,20 Mill. £",2018
171,166,LOSC Lille,Ligue 1,£8.01m,20,£62.64m,20,"60,70 Mill. £",2018
172,167,Sport Club Corinthians Paulista,Série A,£7.99m,41,£14.50m,49,"7,23 Mill. £",2018
173,168,Wuhan Zall,Super League,£7.88m,17,£177k,16,"-8,56 Mill. £",2018
174,169,Besiktas JK,Süper Lig,£7.79m,23,£17.28m,20,"10,54 Mill. £",2018
175,170,FC Metz,Ligue 2,£7.74m,30,£12.68m,30,"5,49 Mill. £",2018
176,171,SD Eibar,LaLiga,£7.20m,20,£6.98m,20,-250 Th. £,2018
177,172,Sharjah Cultural Sports Club,UAE Gulf League,£6.75m,8,-,13,"-7,50 Mill. £",2018
178,173,Changchun Yatai,League One,£6.68m,19,£9.54m,20,"3,18 Mill. £",2018
179,174,FC Ingolstadt 04,2.Bundesliga,£6.67m,27,£15.12m,23,"9,39 Mill. £",2018
180,175,Club Atlético River Plate,Primera División,£6.66m,22,£23.91m,19,"19,16 Mill. £",2018
182,176,Frosinone Calcio,Serie A,£6.48m,31,£270k,34,"-6,90 Mill. £",2018
183,177,Swansea City,Championship,£6.44m,22,£44.78m,22,"42,60 Mill. £",2018
184,178,SD Huesca,LaLiga,£6.30m,27,£360k,34,"-6,60 Mill. £",2018
185,179,FK Rostov,Premier Liga,£6.27m,28,£8.46m,25,"2,44 Mill. £",2018
186,180,FC Copenhagen,Superligaen Championship round,£6.23m,15,£17.42m,14,"12,43 Mill. £",2018
187,181,Los Angeles FC,MLS,£6.18m,26,£900k,30,"-5,87 Mill. £",2018
188,182,AZ Alkmaar,Eredivisie,£6.12m,19,£27.18m,15,"23,40 Mill. £",2018
189,183,Fortuna Düsseldorf,Bundesliga,£6.08m,25,£540k,25,"-6,15 Mill. £",2018
190,184,FC Barcelona B,2ª B - Grupo III,£6.03m,40,£4.95m,28,"-1,20 Mill. £",2018
191,185,Sheffield United,Championship,£6.03m,26,£11.16m,29,"5,70 Mill. £",2018
192,186,FC Augsburg,Bundesliga,£5.99m,23,£2.57m,13,"-3,80 Mill. £",2018
193,187,Urawa Red Diamonds,J1 League,£5.94m,15,-,12,"-6,60 Mill. £",2018
194,188,Brentford FC,Championship,£5.90m,16,£31.46m,16,"28,40 Mill. £",2018
195,189,Seattle Sounders FC,MLS,£5.76m,15,£39k,25,"-6,36 Mill. £",2018
196,190,SC Braga,Liga NOS,£5.63m,32,£18.59m,22,"14,39 Mill. £",2018
197,191,Cruzeiro Esporte Clube,Série A,£5.63m,30,£18.76m,32,"14,59 Mill. £",2018
198,192,SC Amiens,Ligue 1,£5.52m,25,£9.00m,32,"3,86 Mill. £",2018
199,193,Deportivo Toluca,Liga MX Clausura,£5.52m,27,£9.90m,29,"4,87 Mill. £",2018
200,194,Grêmio Foot-Ball Porto Alegrense,Série A,£5.43m,31,£50.09m,33,"49,63 Mill. £",2018
201,195,Roma Primavera,Primavera 1,£5.40m,31,-,24,"-6,00 Mill. £",2018
202,196,Shanghai Greenland Shenhua,Super League,£5.27m,15,-,17,"-5,85 Mill. £",2018
203,197,Asociación Atlética Argentinos Juniors,Primera División,£5.04m,33,£15.01m,23,"11,08 Mill. £",2018
204,198,Istanbul Basaksehir,Süper Lig,£4.95m,28,£4.05m,19,"-1,00 Mill. £",2018
205,199,Norwich City,Championship,£4.91m,23,£33.84m,21,"32,15 Mill. £",2018
206,200,Bröndby IF,Superligaen Championship round,£4.88m,22,£5.83m,18,"1,06 Mill. £",2018
208,201,Club Atlético Huracán,Primera División,£4.79m,36,£8.55m,29,"4,17 Mill. £",2018
209,202,US Palermo,Serie B,£4.77m,39,£13.95m,28,"10,20 Mill. £",2018
210,203,Kasimpasa,Süper Lig,£4.77m,22,£9.36m,24,"5,10 Mill. £",2018
211,204,Rapid Vienna,Bundesliga,£4.73m,26,£8.01m,22,"3,65 Mill. £",2018
212,205,Reading FC,Championship,£4.73m,32,£5.27m,31,600 Th. £,2018
213,206,Juventus Primavera,Primavera 1,£4.59m,60,-,50,"-5,10 Mill. £",2018
214,207,Wigan Athletic,Championship,£4.54m,27,£6.03m,32,"1,66 Mill. £",2018
215,208,AC Perugia Calcio,Serie B,£4.50m,38,£4.50m,42,+-0,2018
216,209,1.FC Nuremberg,Bundesliga,£4.37m,11,-,13,"-4,85 Mill. £",2018
217,210,AEK Athens,Super League,£4.23m,35,£2.88m,31,"-1,50 Mill. £",2018
218,211,Zamalek SC,Premier League,£4.22m,33,£5.29m,23,"1,19 Mill. £",2018
219,212,Club Universidad de Chile,Primera División,£4.18m,27,-,29,"-4,64 Mill. £",2018
220,213,Hapoel Beer Sheva,Ligat ha'Al,£4.08m,28,£4.92m,30,940 Th. £,2018
221,214,Alanyaspor,Süper Lig,£4.06m,26,£3.60m,28,-510 Th. £,2018
222,215,SCO Angers,Ligue 1,£4.01m,26,£18.90m,20,"16,55 Mill. £",2018
223,216,Al-Shabab Riyadh,Professional League,£3.94m,22,£1.17m,27,"-3,08 Mill. £",2018
224,217,Sunderland AFC,League One,£3.87m,31,£23.66m,26,"21,99 Mill. £",2018
225,218,Juventus U23,Serie C - A,£3.87m,46,£855k,19,"-3,35 Mill. £",2018
226,219,Club León FC,Liga MX Clausura,£3.82m,31,£5.35m,26,"1,70 Mill. £",2018
227,220,PFK Ludogorets Razgrad,Parva Liga,£3.78m,12,£5.40m,12,"1,80 Mill. £",2018
228,221,Real Madrid U19,Spain,£3.74m,18,-,22,"-4,15 Mill. £",2018
229,222,US Cremonese,Serie B,£3.60m,38,-,43,"-4,00 Mill. £",2018
230,223,FC Crotone,Serie B,£3.57m,52,£3.69m,47,129 Th. £,2018
231,224,Brescia Calcio,Serie B,£3.51m,31,£450k,33,"-3,40 Mill. £",2018
232,225,UD Las Palmas,LaLiga2,£3.51m,34,£5.22m,30,"1,90 Mill. £",2018
234,226,FC Dallas,MLS,£3.48m,22,£2.91m,18,-640 Th. £,2018
235,227,Delfino Pescara 1936,Serie B,£3.42m,71,£12.20m,63,"9,75 Mill. £",2018
236,228,Minnesota United FC,MLS,£3.38m,19,£779k,22,"-2,89 Mill. £",2018
237,229,AC Sparta Praha,Fortuna Liga,£3.32m,39,£12.74m,28,"10,48 Mill. £",2018
238,230,Club Atlético San Lorenzo de Almagro,Primera División,£3.23m,25,£6.11m,23,"3,20 Mill. £",2018
239,231,Akhmat Grozny,Premier Liga,£3.20m,15,£6.39m,13,"3,54 Mill. £",2018
240,232,EA Guingamp,Ligue 1,£3.15m,19,£3.60m,14,500 Th. £,2018
241,233,Ipswich Town,Championship,£3.09m,30,£9.90m,26,"7,57 Mill. £",2018
242,234,Atlas Guadalajara,Liga MX Clausura,£3.08m,46,£7.79m,40,"5,23 Mill. £",2018
243,235,Konyaspor,Süper Lig,£3.06m,34,£2.03m,27,"-1,15 Mill. £",2018
244,236,Monarcas Morelia,Liga MX Clausura,£2.89m,27,£11.21m,30,"9,25 Mill. £",2018
245,237,Millwall FC,Championship,£2.88m,18,£7.02m,26,"4,60 Mill. £",2018
246,238,FC Groningen,Eredivisie,£2.88m,18,£2.25m,16,-700 Th. £,2018
247,239,Ferencvárosi TC,NB I.,£2.87m,26,-,20,"-3,19 Mill. £",2018
248,240,Vitória Guimarães SC,Liga NOS,£2.86m,26,£13.28m,27,"11,57 Mill. £",2018
249,241,US Salernitana 1919,Serie B,£2.84m,52,£6.30m,46,"3,85 Mill. £",2018
250,242,Club Atlético Vélez Sarsfield,Primera División,£2.82m,19,£9.59m,16,"7,53 Mill. £",2018
251,243,Portimonense SC,Liga NOS,£2.72m,29,£41.40m,33,"42,98 Mill. £",2018
252,244,Nîmes Olympique,Ligue 1,£2.70m,14,-,11,"-3,00 Mill. £",2018
253,245,Guizhou Hengfeng,League One,£2.66m,18,£4.47m,17,"2,01 Mill. £",2018
254,246,Ceará Sporting Club,Série A,£2.57m,28,£3.13m,33,620 Th. £,2018
255,247,Molde FK,Eliteserien,£2.34m,20,£4.50m,22,"2,40 Mill. £",2018
256,248,Club Necaxa,Liga MX Clausura,£2.17m,34,£13.45m,34,"12,53 Mill. £",2018
257,249,Rosenborg BK,Eliteserien,£1.80m,11,£2.20m,15,440 Th. £,2018
258,250,Puebla FC,Liga MX Clausura,£1.36m,34,-,31,"-1,51 Mill. £",2018
