,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
215,207,Albirex Niigata,J1 League,£3.33m,21,-,21,"-3,70 Mill. £",2016.0
216,208,1.FC Union Berlin,2.Bundesliga,£3.33m,13,£4.05m,12,800 Th. £,2016.0
217,209,Gaziantepspor,Süper Lig,£3.24m,28,-,33,"-3,60 Mill. £",2016.0
218,210,Grasshopper Club Zurich,Super League,£3.20m,22,£8.10m,21,"5,45 Mill. £",2016.0
219,211,CD Leganés,LaLiga,£3.20m,22,£180k,31,"-3,35 Mill. £",2016.0
220,212,Arsenal FC U23,Premier League 2,£3.19m,25,£2.61m,18,-640 Th. £,2016.0
221,213,Zamalek SC,Premier League,£3.17m,33,£4.50m,22,"1,48 Mill. £",2016.0
222,214,Feyenoord Rotterdam,Eredivisie,£3.15m,13,£2.34m,8,-900 Th. £,2016.0
223,215,Real Salt Lake City,MLS,£3.09m,23,-,27,"-3,44 Mill. £",2016.0
224,216,Chicago Fire,MLS,£3.06m,18,-,20,"-3,40 Mill. £",2016.0
225,217,Juventus Primavera,Primavera B,£3.02m,77,£810k,57,"-2,45 Mill. £",2016.0
226,218,Genclerbirligi Ankara,Süper Lig,£2.96m,54,£4.73m,43,"1,97 Mill. £",2016.0
227,219,Caykur Rizespor,Süper Lig,£2.93m,33,-,27,"-3,25 Mill. £",2016.0
228,220,US Latina Calcio,Serie B,£2.93m,44,£1.40m,52,"-1,70 Mill. £",2016.0
229,221,Baoding Yingli ETS,League One,£2.88m,14,-,10,"-3,20 Mill. £",2016.0
230,222,FCO Dijon,Ligue 1,£2.84m,18,£1.13m,16,"-1,90 Mill. £",2016.0
231,223,Levante UD,LaLiga2,£2.84m,19,£4.20m,25,"1,52 Mill. £",2016.0
232,224,West Ham United U23,PL2 Playoffs,£2.70m,26,-,20,"-3,00 Mill. £",2016.0
233,225,Al-Wahda FC Abu Dhabi,UAE Gulf League,£2.70m,10,-,10,"-3,00 Mill. £",2016.0
235,226,Al-Ain FC,UAE Gulf League,£2.70m,10,-,11,"-3,00 Mill. £",2016.0
236,227,Al-Nasr (Dubai),UAE Gulf League,£2.70m,10,-,12,"-3,00 Mill. £",2016.0
237,228,Gamba Osaka,J1 League,£2.69m,17,£1.35m,13,"-1,49 Mill. £",2016.0
238,229,Montreal Impact,MLS,£2.63m,19,-,16,"-2,92 Mill. £",2016.0
239,230,UD Las Palmas,LaLiga,£2.61m,19,£180k,17,"-2,70 Mill. £",2016.0
240,231,Sport Club do Recife,Série A,£2.61m,28,£860k,28,"-1,94 Mill. £",2016.0
241,232,Shanghai Shenxin,League One,£2.49m,18,£124k,16,"-2,63 Mill. £",2016.0
242,233,Grêmio Foot-Ball Porto Alegrense,Série A,£2.49m,35,£17.65m,35,"16,84 Mill. £",2016.0
243,234,Hannover 96,2.Bundesliga,£2.43m,19,£12.60m,23,"11,30 Mill. £",2016.0
244,235,Panathinaikos Athens,Super League,£2.32m,30,£522k,28,"-2,00 Mill. £",2016.0
245,236,Barnsley FC,Championship,£2.29m,34,£12.13m,33,"10,94 Mill. £",2016.0
246,237,AS Monaco U19,Monaco,£2.25m,12,-,21,"-2,50 Mill. £",2016.0
247,238,Dynamo Kyiv,Premier Liga,£2.25m,28,£19.89m,24,"19,60 Mill. £",2016.0
248,239,Hapoel Beer Sheva,Ligat ha'Al,£2.23m,29,-,18,"-2,48 Mill. £",2016.0
249,240,Eintracht Braunschweig,2.Bundesliga,£2.18m,9,£3.60m,8,"1,58 Mill. £",2016.0
250,241,Club Atlético Huracán,Primera División,£2.14m,16,£6.48m,10,"4,83 Mill. £",2016.0
251,242,Club Nacional,Primera División,£1.86m,31,£483k,30,"-1,53 Mill. £",2016.0
252,243,El Tanque Sisley,Primera División,£1.80m,32,-,33,"-2,00 Mill. £",2016.0
253,244,Atlas Guadalajara,Liga MX Clausura,£1.80m,38,£3.96m,33,"2,41 Mill. £",2016.0
254,245,Atlético Nacional,Liga Águila II,£1.80m,33,£27.32m,31,"28,35 Mill. £",2016.0
255,246,Huachipato FC,Torneo Transición,£1.75m,20,£3.10m,21,"1,50 Mill. £",2016.0
256,247,Monarcas Morelia,Liga MX Clausura,£1.62m,41,£1.17m,32,-500 Th. £,2016.0
257,248,CA Peñarol,Primera División,£1.17m,46,£7.65m,42,"7,20 Mill. £",2016.0
258,249,CSD Colo Colo,Torneo Transición,£1.15m,29,£4.86m,21,"4,11 Mill. £",2016.0
259,250,Deportivo Toluca,Liga MX Clausura,£1.06m,28,£1.98m,27,"1,03 Mill. £",2016.0
261,1,FC Barcelona,LaLiga,£323.55m,18,£209.25m,12,"-127,00 Mill. £",2017.0
262,2,Manchester City,Premier League,£285.75m,40,£82.22m,34,"-226,15 Mill. £",2017.0
263,3,Paris Saint-Germain,Ligue 1,£254.70m,18,£88.56m,15,"-184,60 Mill. £",2017.0
264,4,Chelsea FC,Premier League,£234.54m,45,£180.54m,30,"-60,00 Mill. £",2017.0
265,5,Everton FC,Premier League,£182.88m,28,£113.83m,21,"-76,72 Mill. £",2017.0
266,6,Manchester United,Premier League,£178.56m,14,£40.95m,11,"-152,90 Mill. £",2017.0
267,7,AC Milan,Serie A,£172.78m,45,£32.00m,37,"-156,43 Mill. £",2017.0
268,8,Liverpool FC,Premier League,£156.49m,15,£166.05m,14,"10,62 Mill. £",2017.0
269,9,Juventus FC,Serie A,£144.36m,107,£131.31m,77,"-14,50 Mill. £",2017.0
270,10,Arsenal FC,Premier League,£137.57m,15,£140.58m,16,"3,35 Mill. £",2017.0
271,11,Inter Milan,Serie A,£119.82m,90,£67.72m,70,"-57,89 Mill. £",2017.0
272,12,AS Monaco,Ligue 1,£111.33m,35,£220.05m,23,"120,80 Mill. £",2017.0
273,13,Tottenham Hotspur,Premier League,£109.35m,15,£93.42m,11,"-17,70 Mill. £",2017.0
274,14,Bayern Munich,Bundesliga,£104.85m,17,£29.30m,11,"-83,95 Mill. £",2017.0
275,15,Borussia Dortmund,Bundesliga,£98.85m,19,£230.36m,16,"146,12 Mill. £",2017.0
276,16,Atlético Madrid,LaLiga,£91.80m,22,£75.15m,20,"-18,50 Mill. £",2017.0
277,17,AS Roma,Serie A,£86.67m,83,£139.28m,63,"58,45 Mill. £",2017.0
278,18,Zenit St. Petersburg,Premier Liga,£84.87m,27,£14.15m,20,"-78,58 Mill. £",2017.0
279,19,Leicester City,Premier League,£79.06m,19,£43.11m,15,"-39,95 Mill. £",2017.0
280,20,Beijing Sinobo Guoan,Super League,£71.97m,15,£5.94m,16,"-73,37 Mill. £",2017.0
